league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1912,South Central League,TLNZ0102,Dowlen,,Paris,1912-04-30,1912-05-01,2,0,0,0,0,0,2,0,0,2,0,0
1912,South Central League,TLNZ0202,Dowlin,,Paris,1912-04-29,1912-04-29,1,0,0,0,0,0,1,0,1,0,0,0
1912,South Central League,FPRT0101,Feibert,,Tyler,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,FLNZ0101,Flynn,D.,Greenville,1912-04-30,1912-04-30,1,0,0,0,0,0,1,0,0,1,0,0
1912,South Central League,FR0Z0101,Fruth,,Tyler,1912-04-29,1912-05-01,2,0,0,2,0,0,0,0,0,0,0,0
1912,South Central League,KNSZ0101,Gaines,,Paris,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,KRTN0101,Gardner,,Cleburne,1912-04-29,1912-04-30,2,0,0,0,1,0,2,2,0,0,0,0
1912,South Central League,KRNR0101,Garner,,Cleburne,1912-05-01,1912-05-01,1,0,0,0,1,0,0,0,0,0,0,0
1912,South Central League,KNZZ0102,Gowan,,Marshall,1912-04-29,1912-05-01,3,0,0,0,0,0,3,0,3,0,0,0
1912,South Central League,KTRS0101,Guiterrez,,Marshall,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,HTSN0102,Hadson,,Texarkana,1912-04-29,1912-04-29,1,0,0,1,0,0,0,0,0,0,0,0
1912,South Central League,HKMN0101,Hakeman,,Tyler,1912-04-29,1912-04-29,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,HLZZ0101,Hall,,Texarkana,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,HRPN0101,Harbin,,Cleburne,1912-04-29,1912-04-30,2,1,0,0,0,0,1,1,0,0,0,1
1912,South Central League,HRTZ0101,Hardy,,Longview,1912-04-29,1912-05-01,3,0,3,0,0,0,0,0,0,0,0,0
1912,South Central League,HRPR0101,Harper,,Greenville,1912-04-30,1912-04-30,1,0,0,0,0,0,1,1,0,0,0,0
1912,South Central League,HKRZ0101,Hawker,,Paris,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,HTZZ0101,Hewitt,,Tyler,1912-04-29,1912-04-29,1,0,0,0,1,0,0,0,0,0,0,0
1912,South Central League,HFMN0101,Hoffman,,Longview,1912-04-29,1912-05-01,3,0,0,0,0,0,3,3,0,0,0,0
1912,South Central League,HLTZ0102,Holliday,,Longview,1912-04-30,1912-05-01,2,0,0,0,0,0,2,0,0,2,0,0
1912,South Central League,HLTZ0202,Holliday,,Paris,1912-04-29,1912-04-29,1,0,0,1,0,0,0,0,0,0,0,0
1912,South Central League,HLHN0101,Houlihan,,Texarkana,1912-04-29,1912-05-01,3,0,3,0,0,0,0,0,0,0,0,0
1912,South Central League,HTSN0202,Hudson,,Texarkana,1912-04-30,1912-05-01,2,0,0,2,0,0,0,0,0,0,0,0
1912,South Central League,HMFR0101,Humphries,,Sherman,1912-04-30,1912-04-30,1,0,0,0,0,1,0,0,0,0,0,0
1912,South Central League,JNSZ0101,Johns,,Longview,1912-04-29,1912-05-01,3,0,0,3,0,0,0,0,0,0,0,0
1912,South Central League,JNSN0101,Johnson,,Tyler,1912-04-29,1912-05-01,3,0,0,0,0,0,3,0,0,3,0,0
1912,South Central League,JRTN0101,Jordan,,Texarkana,1912-04-29,1912-05-01,3,0,0,0,0,0,0,0,0,0,3,0
1912,South Central League,JTSZ0101,Jutzie,,Cleburne,1912-04-29,1912-05-01,3,0,3,0,0,0,0,0,0,0,0,0
1912,South Central League,KNZZ0202,Kane,,Marshall,1912-04-29,1912-04-29,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,KFRZ0101,Keifer,,Marshall,1912-04-30,1912-05-01,2,0,0,0,0,0,2,2,0,0,0,0
1912,South Central League,KRZZ0101,Kerr,,Cleburne,1912-04-30,1912-05-01,2,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,KTZZ0101,Kewitt,,Tyler,1912-05-01,1912-05-01,1,0,0,0,1,0,0,0,0,0,0,0
1912,South Central League,KXNS0101,Kitchens,,Greenville,1912-04-30,1912-04-30,1,0,1,0,0,0,0,0,0,0,0,0
1912,South Central League,KFTZ0101,Kuvit,,Tyler,1912-04-30,1912-04-30,1,0,0,0,1,0,0,0,0,0,0,0
1912,South Central League,LMNK0101,Lamonica,,Sherman,1912-04-30,1912-04-30,1,0,0,0,0,0,1,0,0,1,0,0
1912,South Central League,LSNZ0101,Lawson,,Paris,1912-04-29,1912-05-01,3,0,0,1,0,0,2,0,1,1,1,0
1912,South Central League,LSZZ0101,Lewis,,Greenville,1912-04-30,1912-04-30,1,0,0,0,0,1,0,0,0,0,0,0
1912,South Central League,M0SZ0104,Mathias,E.,Paris,1912-04-29,1912-04-30,2,0,0,0,0,0,2,2,0,0,0,0
1912,South Central League,M0SZ0204,Mathias,L.,Paris,1912-04-29,1912-04-30,2,0,2,0,0,0,0,0,0,0,0,0
1912,South Central League,M0SZ0304,Mathis,E.,Paris,1912-05-01,1912-05-01,1,0,0,0,0,0,1,1,0,0,0,0
1912,South Central League,M0SZ0404,Mathis,L.,Paris,1912-05-01,1912-05-01,1,0,1,0,0,0,0,0,0,0,0,0
1912,South Central League,MKNN0101,McKinnen,,Texarkana,1912-04-29,1912-05-01,2,2,0,0,0,0,0,0,0,0,0,2
1912,South Central League,MRLZ0101,Merrill,,Cleburne,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,MRTZ0101,Merritt,,Longview,1912-04-30,1912-05-01,2,0,1,0,0,0,0,0,0,0,2,0
1912,South Central League,MLRZ0101,Miller,,Greenville,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,MTZZ0101,Moody,,Tyler,1912-04-29,1912-05-01,3,0,0,0,0,3,0,0,0,0,0,0
1912,South Central League,NJLZ0101,Nagel,,Marshall,1912-04-29,1912-04-30,2,0,0,0,0,0,2,0,0,2,0,0
1912,South Central League,NKLZ0101,Nagle,,Marshall,1912-05-01,1912-05-01,1,0,0,0,0,0,1,0,0,1,0,0
1912,South Central League,ANLZ0101,O'Neal,,Tyler,1912-04-29,1912-05-01,2,0,0,1,0,0,0,0,0,0,0,0
1912,South Central League,PPZZ0101,Pappe,,Marshall,1912-04-29,1912-05-01,3,0,0,0,0,3,0,0,0,0,0,0
1912,South Central League,PRKN0101,Perkins,,Cleburne,1912-04-29,1912-04-30,2,0,0,0,2,0,0,0,0,0,0,0
1912,South Central League,FLPS0101,Phillips,,Longview,1912-04-29,1912-04-30,2,2,0,0,0,0,0,0,0,0,0,2
1912,South Central League,PKNS0101,Pickens,,Greenville,1912-04-30,1912-04-30,1,0,0,1,0,0,0,0,0,0,0,0
1912,South Central League,PNTK0101,Poindexter,,Tyler,1912-04-29,1912-05-01,2,0,0,0,0,0,1,0,1,0,0,0
1912,South Central League,PRTM0102,Prudhome,,Texarkana,1912-05-01,1912-05-01,1,0,0,0,0,1,0,0,0,0,0,0
1912,South Central League,PRTM0202,Prudhomme,,Texarkana,1912-04-29,1912-04-30,2,0,0,0,0,2,0,0,0,0,0,0
1912,South Central League,PRTZ0101,Pruitt,,Tyler,1912-04-30,1912-04-30,1,0,0,1,0,0,0,0,0,0,0,0
1912,South Central League,RPRN0101,Rayburn,,Sherman,1912-04-30,1912-04-30,1,0,1,0,0,0,0,0,0,0,0,0
1912,South Central League,RTZZ0101,Reed,,Sherman,1912-04-30,1912-04-30,1,0,0,1,0,0,0,0,0,0,0,0
1912,South Central League,RTRZ0101,Ritter,,Cleburne,1912-04-29,1912-05-01,3,0,0,0,0,0,0,0,0,0,3,0
1912,South Central League,RRKZ0101,Roark,,Sherman,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,RPNS0101,Robinson,,Greenville,1912-04-30,1912-04-30,1,0,0,0,0,0,0,0,0,0,1,0
1912,South Central League,RLNT0101,Rowland,,Marshall,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,XFLT0101,Sheffield,,Longview,1912-04-29,1912-05-01,3,0,0,0,3,0,0,0,0,0,0,0
1912,South Central League,XRTZ0102,Sherwood,,Paris,1912-04-29,1912-05-01,3,0,0,0,0,3,0,0,0,0,0,0
1912,South Central League,XRTZ0202,Short,,Marshall,1912-04-29,1912-05-01,3,0,0,0,0,0,0,0,0,0,3,0
1912,South Central League,SLTZ0101,Solliday,,Paris,1912-04-30,1912-05-01,2,0,0,2,0,1,0,0,0,0,0,0
1912,South Central League,SRZZ0102,Sorrey,,Cleburne,1912-04-30,1912-05-01,2,0,0,0,0,2,0,0,0,0,0,0
1912,South Central League,SRZZ0202,Sorry,,Cleburne,1912-04-29,1912-04-29,1,0,0,0,0,1,0,0,0,0,0,0
1912,South Central League,SPRZ0101,Spear,,Longview,1912-04-29,1912-05-01,2,0,0,0,0,0,0,0,0,0,2,0
1912,South Central League,STPL0101,Stapleton,,Marshall,1912-04-29,1912-05-01,3,0,0,0,3,0,0,0,0,0,0,0
1912,South Central League,STKL0101,Stegall,,Texarkana,1912-04-29,1912-05-01,3,0,0,0,3,0,0,0,0,0,0,0
1912,South Central League,STRP0101,Stribbel,,Marshall,1912-04-29,1912-05-01,3,0,0,3,0,0,0,0,0,0,0,0
1912,South Central League,STPS0101,Stubbs,,Texarkana,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,South Central League,TMPS0101,Thompson,,Tyler,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
