key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
155ec745-f94d-5ca3-9a7d-27df72250b5e,1915-05-22,2,Northern,,Grand Forks,2,,St. Boniface,10,,,1:30,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",0,0,0,1,0,1,0,,,,,,,,0,1,0,2,3,0,4,,,,,,,
134e9e55-049f-55fc-bd89-182433c9cd6a,1915-05-22,1,Northern,,Fargo-Moorhead,8,,Winnipeg,3,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",1,0,3,2,1,0,1,0,0,,,,,,0,1,1,0,0,0,1,0,0,,,,,
00fecfd1-f3a9-572c-8b0f-85ffcd43c31d,1915-05-22,2,Northern,,Fargo-Moorhead,6,,Winnipeg,2,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 23, 1915",0,0,0,3,1,1,0,1,0,,,,,,0,0,1,0,0,0,0,0,1,,,,,
eeccb381-f445-58a0-bb9f-f86bb23eb0eb,1915-05-24,1,Northern,,Superior,6,,Duluth,8,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",1,0,0,1,0,0,0,1,3,,,,,,0,6,2,0,0,0,0,0,x,,,,,
ff3ab20c-684c-531d-8aa1-3d7564ba0343,1915-05-24,2,Northern,,Superior,5,,Duluth,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",0,2,0,2,1,0,,,,,,,,,2,3,0,0,0,0,,,,,,,,
845de2c9-e5e8-536e-9ae3-9c8046e54ac9,1915-05-24,1,Northern,,Virginia,4,,Fort William-Port Arthur,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",0,0,0,2,0,0,0,2,0,0,0,,,,1,0,1,2,0,0,0,0,0,0,1,,,
2cae2130-41e1-5927-b560-bce6f1a5a18f,1915-05-24,2,Northern,,Virginia,4,,Fort William-Port Arthur,5,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",0,1,1,0,0,2,0,0,0,,,,,,2,1,0,0,0,0,0,0,2,,,,,
76ccfc9f-f74a-53de-8fe1-3b053d559121,1915-05-24,1,Northern,,Grand Forks,2,,St. Boniface,0,,,1:49,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",1,1,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
40a3b0db-d11d-5d56-a95e-c761a161905a,1915-05-24,2,Northern,,Grand Forks,3,,St. Boniface,10,,,1:45,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",0,0,0,0,0,0,0,0,3,,,,,,0,3,1,0,0,0,2,4,x,,,,,
ddb7e442-e0ef-5829-8e15-c2f790558c59,1915-05-24,1,Northern,,Fargo-Moorhead,7,,Winnipeg,6,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",2,0,3,0,1,0,0,0,1,,,,,,1,0,2,0,3,0,0,0,0,,,,,
5ca0e52e-9457-57f5-aa29-79d2db472572,1915-05-24,2,Northern,,Fargo-Moorhead,3,,Winnipeg,6,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 25, 1915",0,2,0,0,0,0,0,1,0,,,,,,1,0,0,0,0,4,0,1,x,,,,,
03db07cb-c835-5f6f-8643-01bcc6233cc8,1915-05-25,0,Northern,,Superior,11,,Duluth,4,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150520.txt,"Grand Forks Daily Herald, May 26, 1915",0,2,1,0,6,0,2,0,0,,,,,,0,0,4,0,0,0,0,0,0,,,,,
