league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Northern League,MKLK0102,McCulloch,,Virginia,1915-05-11,1915-05-13,3,0,2,0,0,0,0,0,0,0,0,0
1915,Northern League,MKLK0202,McCullouch,,Virginia,1915-05-10,1915-05-10,1,0,1,0,0,0,0,0,0,0,0,0
1915,Northern League,MKZZ0101,McGee,,Superior,1915-05-14,1915-05-16,2,0,0,2,0,0,0,0,0,0,0,0
1915,Northern League,MKRZ0101,McGraw,,Grand Forks,1915-05-08,1915-05-19,3,0,0,0,0,0,2,0,2,0,0,0
1915,Northern League,MKLZ0102,McNeely,,Grand Forks,1915-05-22,1915-05-25,3,0,0,0,0,0,0,0,0,0,2,0
1915,Northern League,MKLZ0202,McNeilly,,Grand Forks,1915-05-21,1915-05-21,1,0,0,0,0,0,0,0,0,0,0,0
1915,Northern League,MLRZ0102,Miller,,St. Boniface,1915-05-08,1915-05-25,5,1,0,0,0,0,4,0,4,0,0,1
1915,Northern League,MLRZ0202,Miller,H.,St. Boniface,1915-05-24,1915-05-24,2,0,0,0,0,0,2,0,2,0,0,0
1915,Northern League,MXLZ0101,Mitchell,,Winnipeg,1915-05-26,1915-05-26,1,0,0,0,0,1,0,0,0,0,0,0
1915,Northern League,MRSZ0105,Morse,,Grand Forks,1915-05-08,1915-05-26,16,1,0,0,0,15,0,0,0,0,0,1
1915,Northern League,MRSZ0205,Morse,P.,Grand Forks,1915-05-16,1915-05-16,1,0,0,0,0,1,0,0,0,0,0,0
1915,Northern League,MRSZ0305,Morse,Pete,Grand Forks,1915-05-14,1915-05-14,1,1,0,0,0,0,0,0,0,0,0,1
